id,question,A,B,C,Answerkey
13,Donna was not happy yesterday afternoon. She hurt her arm on the slide at the park. The nurse took an X-ray. Question. What did the nurse take?,An X-ray,A photograph,A book,A
14,Donna's brother Martin didn't go to the hospital. He went to the train station to meet his Uncle Alan. Question. Who is Martin?,Donna's brother,Donna's father,Donna's uncle,A
15,Donna's brother Martin didn't go to the hospital. He went to the train station to meet his Uncle Alan. Question. Did Martin go to the hospital?,"No, he didn't.","Yes, he did.",He went to the park.,A
16,Donna's brother Martin didn't go to the hospital. He went to the train station to meet his Uncle Alan. Question. Where did Martin go?,The train station,The ballpark,The bookstore,A
17,Donna's brother Martin didn't go to the hospital. He went to the train station to meet his Uncle Alan. Question. Who did Martin meet at the station?,Uncle Alan,His father,His friend Steve,A
18,Donna's brother Martin didn't go to the hospital. He went to the train station to meet his Uncle Alan. Question. How did Uncle Alan travel?,By train,By bus,By car,A
19,Donna's brother Martin didn't go to the hospital. He went to the train station to meet his Uncle Alan. The train arrived at four o'clock. Question. When did the train arrive?,At four o'clock,At five o'clock,At six o'clock,A
20,John went to the shops yesterday. First he went to the bookstore. Then he went to the post office. He saw his friend Steve. Question. Where did John go yesterday?,To the shops,To the hospital,To the zoo,A
21,John went to the shops yesterday. First he went to the bookstore. Then he went to the post office. He saw his friend Steve. Question. Where did John go first?,The bookstore,The post office,The train station,A
22,John went to the shops yesterday. First he went to the bookstore. Then he went to the post office. He saw his friend Steve. Question. Where did John go after the bookstore?,The post office,The ballpark,The library,A
23,John went to the shops yesterday. First he went to the bookstore. Then he went to the post office. He saw his friend Steve. Question. Who did John see?,His friend Steve,His uncle Alan,His brother,A
24,John went to the shops yesterday. First he went to the bookstore. Then he went to the post office. He saw his friend Steve. Question. Did John see Steve at the shops?,"Yes, he did.","No, he saw him at school.","No, he didn't see anyone.",A
25,John went to the shops yesterday. First he went to the bookstore. Then he went to the post office. He saw his friend Steve. Question. Which place did John NOT go to?,The zoo,The bookstore,The post office,A
26,"Kate went to the zoo with her friend Rachel yesterday. They saw lions, elephants, koalas, and monkeys. Kate gave a banana to a monkey. Question. Where did Kate go yesterday?",The zoo,The park,The beach,A
27,"Kate went to the zoo with her friend Rachel yesterday. They saw lions, elephants, koalas, and monkeys. Kate gave a banana to a monkey. Question. Who did Kate go to the zoo with?",Her friend Rachel,Her brother Martin,Her father,A
28,"Kate went to the zoo with her friend Rachel yesterday. They saw lions, elephants, koalas, and monkeys. Kate gave a banana to a monkey. Question. What animals did they see?","Lions, elephants, koalas, and monkeys","Cats, dogs, and birds",Fish and crabs,A
29,"Kate went to the zoo with her friend Rachel yesterday. They saw lions, elephants, koalas, and monkeys. Kate gave a banana to a monkey. Question. Did they see lions?","Yes, they saw lions.","No, they only saw monkeys.","No, they saw tigers.",A
30,"Kate went to the zoo with her friend Rachel yesterday. They saw lions, elephants, koalas, and monkeys. Kate gave a banana to a monkey. Question. What did Kate give to a monkey?",A banana,An apple,Ice cream,A
31,"Kate went to the zoo with her friend Rachel yesterday. They saw lions, elephants, koalas, and monkeys. Kate gave a banana to a monkey. Question. Which animal got a banana?",A monkey,An elephant,A koala,A
32,"Maria didn't go to the zoo yesterday, she went to the library. She likes to read. She took home five books! Question. Did Maria go to the zoo yesterday?","No, she didn't.","Yes, she went with Kate.","Yes, she saw monkeys.",A
33,"Maria didn't go to the zoo yesterday, she went to the library. She likes to read. She took home five books! Question. Where did Maria go yesterday?",The library,The zoo,The hospital,A
34,"Maria didn't go to the zoo yesterday, she went to the library. She likes to read. She took home five books! Question. What does Maria like to do?",She likes to read.,She likes to swim.,She likes to play baseball.,A
35,"Maria didn't go to the zoo yesterday, she went to the library. She likes to read. She took home five books! Question. How many books did Maria take home?",Five,Three,Ten,A
36,"Maria didn't go to the zoo yesterday, she went to the library. She likes to read. She took home five books! Question. Where did she get the books from?",The library,The bookstore,The post office,A
37,Tom and Rob went to a baseball game at the ballpark yesterday. The game was exciting. They ate hamburgers. They had fun! Question. Where did Tom and Rob go yesterday?,A baseball game,The zoo,The train station,A
38,Tom and Rob went to a baseball game at the ballpark yesterday. The game was exciting. They ate hamburgers. They had fun! Question. Where was the baseball game?,At the ballpark,At the park,At the beach,A
39,Tom and Rob went to a baseball game at the ballpark yesterday. The game was exciting. They ate hamburgers. They had fun! Question. How was the game?,It was exciting.,It was boring.,It was very slow.,A
40,Tom and Rob went to a baseball game at the ballpark yesterday. The game was exciting. They ate hamburgers. They had fun! Question. What did they eat?,Hamburgers,Hot dogs,Ice cream,A
41,Tom and Rob went to a baseball game at the ballpark yesterday. The game was exciting. They ate hamburgers. They had fun! Question. Did they have fun?,"Yes, they had fun.","No, they didn't.",The text doesn't say.,A
42,Clare didn't go to the baseball game. She was sick. She was at home in bed all day yesterday. Question. Did Clare go to the baseball game?,"No, she didn't.","Yes, she did.",She went to the park.,A
43,Clare didn't go to the baseball game. She was sick. She was at home in bed all day yesterday. Question. Why didn't Clare go to the game?,She was sick.,She was working.,She missed the train.,A
44,Clare didn't go to the baseball game. She was sick. She was at home in bed all day yesterday. Question. Where was Clare yesterday?,At home in bed,At the hospital,At the library,A
45,"Mike was at a restaurant with his family yesterday. It was his birthday. He had a big cake, and a lot of presents and cards. Question. Where was Mike yesterday?",At a restaurant,At the park,At home,A
46,"Mike was at a restaurant with his family yesterday. It was his birthday. He had a big cake, and a lot of presents and cards. Question. Who was Mike with?",His family,His friends,His classmates,A
47,"Mike was at a restaurant with his family yesterday. It was his birthday. He had a big cake, and a lot of presents and cards. Question. What did Mike have for his birthday?","A big cake, presents, and cards",Hamburgers and soda,Ice cream and a balloon,A
48,Amy was at the beach with her grandparents. They ate ice cream and drank soda. They made sandcastles. They played in the sea. Question. Where was Amy?,At the beach,At the swimming pool,At the ballpark,A
49,Amy was at the beach with her grandparents. They ate ice cream and drank soda. They made sandcastles. They played in the sea. Question. What did Amy and her grandparents drink?,Soda,Water,Coffee,A
50,Amy's mother and father weren't at the beach yesterday. Her mother was at work in the hospital. Her father went to the office. Question. Where was Amy's mother yesterday?,At work in the hospital,At the beach,At the office,A
